Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Squadra,Field Position,Esito,Piede,Chi,Casella di gruppo
Inizio (1),0:05:06.680,0:00:10.000,23/01/2025,Inizio,giovi,diego jr,fabri,mattia,ricky,Noi,,,,,
Laterale (1),0:05:27.320,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,0,,,,
Laterale (2),0:05:53.200,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,0,,,,
Integrazione portier (1),0:05:57.000,0:00:10.000,23/01/2025,Integrazione portier,giovi,diego jr,fabri,mattia,ricky,Loro,,,,,
Tiro (1),0:06:01.200,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,5,Parata,Sx,,
Tiro (2),0:06:04.080,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Noi,0,Parata,,giovi,
Laterale (3),0:06:19.200,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,0,,,,
Laterale (4),0:06:33.080,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,0,,,,
Palla recuperata (2),0:06:44.080,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,fabri,mattia,ricky,,1,Fuori,,fabri,
Laterale (5),0:06:54.400,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,1,,,,
Tiro (3),0:06:58.520,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,2,Parata,Dx,,
Laterale (6),0:07:28.560,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,1,,,,
Laterale (7),0:07:51.240,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,0,,,,
Laterale (8),0:08:02.720,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,1,,,,
Tiro (4),0:08:13.360,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Noi,4,Ribattuto,Dx,ricky,
Fallo (1),0:08:31.480,0:00:08.000,23/01/2025,Fallo,giovi,diego jr,fabri,mattia,ricky,Noi,6,,,fabri,
Punizione (1),0:08:58.840,0:00:06.000,23/01/2025,Punizione,giovi,azza,diego jr,fabri,ricky,Loro,6,Ribattuto,,,
Laterale (9),0:09:32.480,0:00:07.000,23/01/2025,Laterale,giovi,azza,diego jr,fabri,ricky,Noi,6,,,,
Tiro (5),0:09:35.520,0:00:07.000,23/01/2025,Tiro,giovi,azza,diego jr,fabri,ricky,Noi,2,Ribattuto,Dx,fabri,
Laterale (10),0:09:44.680,0:00:07.000,23/01/2025,Laterale,giovi,azza,diego jr,fabri,ricky,Noi,4,,,,
Laterale (11),0:09:48.920,0:00:07.000,23/01/2025,Laterale,giovi,azza,diego jr,fabri,ricky,Noi,4,,,,
Tiro (7),0:09:50.720,0:00:07.000,23/01/2025,Tiro,giovi,azza,diego jr,fabri,ricky,Noi,2,Parata,Dx,fabri,
Angolo (2),0:10:04.160,0:00:08.000,23/01/2025,Angolo,giovi,azza,diego jr,fabri,nico estratti,Noi,9,,,,
Angolo (4),0:10:04.560,0:00:08.000,23/01/2025,Angolo,giovi,azza,diego jr,fabri,nico estratti,Noi,9,,,,
