Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Casella di gruppo,Squadra,Piede
Inizio avversario (1),0:18:39.433,0:00:10.000,04/01/2025,Inizio avversario,giovi,deba,scanta,mattia,fabri,,,,,,
Palla persa (1),0:19:04.566,0:00:10.000,04/01/2025,Palla persa,giovi,deba,scanta,mattia,fabri,deba,Ripartenza,0,,,
2v2 (1),0:19:09.700,0:00:10.000,04/01/2025,,giovi,deba,scanta,mattia,fabri,,No Gol,,2v2,Loro,
Palla recuperata (1),0:19:13.533,0:00:10.000,04/01/2025,Palla recuperata,giovi,deba,scanta,mattia,fabri,mattia,Fuori,5,,,
Laterale (1),0:19:58.466,0:00:07.000,04/01/2025,Laterale,giovi,deba,scanta,mattia,fabri,,,0,,Loro,
Palla persa (2),0:21:11.433,0:00:10.000,04/01/2025,Palla persa,giovi,deba,scanta,mattia,fabri,deba,,0,,,
Fallo (1),0:21:23.100,0:00:04.000,04/01/2025,Fallo,giovi,deba,scanta,mattia,fabri,mattia,,4,,Noi,
Punizione (1),0:21:47.700,0:00:06.000,04/01/2025,Punizione,giovi,scanta,mattia,fabri,ricky,,Fuori,4,,Loro,Dx
Palla persa (3),0:22:09.700,0:00:10.000,04/01/2025,Palla persa,giovi,scanta,mattia,fabri,ricky,ricky,No Gol,0,,,
3v2 (1),0:22:12.700,0:00:10.000,04/01/2025,,giovi,scanta,mattia,fabri,ricky,,No Gol,,3v2,Noi,
Palla recuperata (2),0:22:13.400,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,mattia,fabri,ricky,fabri,Ripartenza,2,,,
Tiro (1),0:22:18.866,0:00:07.000,04/01/2025,Tiro,giovi,scanta,mattia,fabri,ricky,scanta,Ribattuto,7,,Noi,Dx
Angolo (1),0:22:30.300,0:00:08.000,04/01/2025,Angolo,giovi,scanta,mattia,fabri,ricky,,,,,Noi,
Tiro (2),0:22:35.133,0:00:07.000,04/01/2025,Tiro,giovi,scanta,mattia,fabri,ricky,ricky,Ribattuto,6,,Noi,Dx
Laterale (2),0:22:43.800,0:00:07.000,04/01/2025,Laterale,giovi,scanta,mattia,fabri,ricky,,,6,,Noi,
Tiro (3),0:22:49.400,0:00:07.000,04/01/2025,Tiro,giovi,scanta,mattia,fabri,ricky,fabri,Gol,2,,Noi,Dx
Gol (1),0:22:53.466,0:00:07.000,04/01/2025,Gol,giovi,scanta,mattia,fabri,ricky,fabri,,5,,Noi,Dx
Inizio avversario (2),0:23:18.633,0:00:10.000,04/01/2025,Inizio avversario,giovi,ricky,erick,nic,zanna,,,,,,
Laterale (3),0:23:44.600,0:00:07.000,04/01/2025,Laterale,giovi,ricky,erick,nic,zanna,,,6,,Noi,
Laterale (4),0:23:56.633,0:00:07.000,04/01/2025,Laterale,giovi,ricky,erick,nic,zanna,,,0,,Loro,
Palla recuperata (3),0:24:09.433,0:00:10.000,04/01/2025,Palla recuperata,giovi,ricky,erick,nic,zanna,zanna,,5,,,
Tiro (4),0:24:25.633,0:00:07.000,04/01/2025,Tiro,giovi,ricky,erick,nic,zanna,ricky,Ribattuto,4,,Noi,Dx
Fallo (2),0:24:48.000,0:00:04.000,04/01/2025,Fallo,giovi,ricky,erick,nic,zanna,nic,,0,,Noi,
Fallo (3),0:25:04.666,0:00:04.000,04/01/2025,Fallo,giovi,ricky,erick,nic,zanna,zanna,,5,,Noi,
Punizione (2),0:25:36.900,0:00:06.000,04/01/2025,Punizione,giovi,ricky,erick,nic,zanna,,Parata,5,,Loro,Dx
Angolo (2),0:25:49.366,0:00:08.000,04/01/2025,Angolo,giovi,ricky,erick,nic,zanna,,,,,Loro,
Palla persa (4),0:26:03.300,0:00:10.000,04/01/2025,Palla persa,giovi,ricky,erick,nic,zanna,erick,,0,,,
Palla recuperata (4),0:26:05.666,0:00:10.000,04/01/2025,Palla recuperata,giovi,ricky,erick,nic,zanna,ricky,Costruzione,2,,,
Laterale (5),0:26:35.733,0:00:07.000,04/01/2025,Laterale,giovi,ricky,erick,nic,zanna,,,4,,Loro,
Lancio (1),0:27:01.200,0:00:10.000,04/01/2025,Lancio,giovi,ricky,erick,nic,zanna,,Intercetto,,,Noi,
Tiro (5),0:27:14.966,0:00:07.000,04/01/2025,Tiro,giovi,ricky,erick,nic,zanna,,Fuori,4,,Loro,Dx
Palla persa (5),0:27:36.300,0:00:10.000,04/01/2025,Palla persa,giovi,ricky,erick,nic,zanna,nic,Costruzione,0,,,
Laterale (6),0:27:54.066,0:00:07.000,04/01/2025,Laterale,giovi,erick,fabri,deba,scanta,,,0,,Noi,
Palla recuperata (5),0:28:12.833,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,fabri,deba,scanta,fabri,,5,,,
Laterale (7),0:28:35.900,0:00:07.000,04/01/2025,Laterale,giovi,erick,fabri,deba,scanta,,,4,,Noi,
Tiro (6),0:28:38.266,0:00:07.000,04/01/2025,Tiro,giovi,erick,fabri,deba,scanta,deba,Ribattuto,5,,Noi,Dx
Palla persa (6),0:28:46.433,0:00:10.000,04/01/2025,Palla persa,giovi,erick,fabri,deba,scanta,scanta,,0,,,
Palla recuperata (6),0:28:50.200,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,fabri,deba,scanta,scanta,Fuori,0,,,
Laterale (8),0:29:01.600,0:00:07.000,04/01/2025,Laterale,giovi,fabri,deba,scanta,mattia,,,1,,Loro,
Tiro (7),0:29:17.533,0:00:07.000,04/01/2025,Tiro,giovi,fabri,deba,scanta,mattia,,Fuori,5,,Loro,Sx
Palla persa (7),0:30:14.900,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,deba,scanta,mattia,scanta,No Gol,0,,,
Laterale (9),0:30:54.566,0:00:07.000,04/01/2025,Laterale,giovi,fabri,deba,scanta,mattia,,,6,,Loro,
Tiro (8),0:30:56.700,0:00:07.000,04/01/2025,Tiro,giovi,fabri,deba,scanta,mattia,deba,Ribattuto,6,,Loro,Dx
Laterale (10),0:31:12.300,0:00:07.000,04/01/2025,Laterale,giovi,fabri,deba,scanta,mattia,,,1,,Loro,
Palla recuperata (7),0:31:16.033,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,deba,scanta,mattia,deba,,0,,,
Palla persa (8),0:31:18.633,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,deba,scanta,mattia,deba,,3,,,
Palla recuperata (8),0:31:33.833,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,deba,scanta,mattia,fabri,,0,,,
Palla persa (9),0:31:35.566,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,deba,scanta,mattia,fabri,Tiro,3,,,
Tiro (9),0:31:39.400,0:00:07.000,04/01/2025,Tiro,giovi,fabri,deba,scanta,mattia,,Parata,8,,Loro,Dx
Laterale (11),0:32:01.000,0:00:07.000,04/01/2025,Laterale,giovi,fabri,deba,scanta,mattia,,,0,,Noi,
Da rivedere (1),0:32:19.033,0:00:10.000,04/01/2025,Da rivedere,giovi,fabri,deba,mattia,ricky,,,,,,
Laterale (12),0:32:29.433,0:00:07.000,04/01/2025,Laterale,giovi,fabri,deba,mattia,ricky,,,0,,Loro,
Laterale (13),0:32:39.166,0:00:07.000,04/01/2025,Laterale,giovi,fabri,deba,mattia,ricky,,,0,,Noi,
Palla persa (10),0:32:56.000,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,deba,mattia,ricky,deba,Costruzione,0,,,
Tiro (10),0:33:34.600,0:00:07.000,04/01/2025,Tiro,giovi,fabri,deba,mattia,ricky,ricky,Ribattuto,5,,Loro,Dx
Angolo (3),0:34:01.900,0:00:08.000,04/01/2025,Angolo,giovi,fabri,nic,mattia,ricky,,,,,Loro,
Tiro (11),0:34:28.833,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,digao,nic,ricky,Parata,5,,Noi,Dx
Angolo (4),0:34:47.933,0:00:08.000,04/01/2025,Angolo,giovi,fabri,ricky,digao,nic,,,,,Noi,
Fallo (4),0:34:50.800,0:00:04.000,04/01/2025,Fallo,giovi,fabri,ricky,digao,nic,digao,,0,,Noi,
Timeout (1),0:34:59.900,0:00:10.000,04/01/2025,Timeout,giovi,fabri,ricky,digao,nic,,,,,Loro,
Palla recuperata (9),0:36:35.700,0:00:10.000,04/01/2025,Palla recuperata,giovi,ricky,digao,nic,zanna,ricky,,0,,,
Tiro (12),0:36:39.566,0:00:07.000,04/01/2025,Tiro,giovi,ricky,digao,nic,zanna,ricky,Fuori,5,,Noi,Dx
Palla recuperata (10),0:36:53.366,0:00:10.000,04/01/2025,Palla recuperata,giovi,ricky,digao,nic,zanna,zanna,,0,,,
Palla persa (11),0:37:00.866,0:00:10.000,04/01/2025,Palla persa,giovi,ricky,digao,nic,zanna,ricky,Fuori,1,,,
Laterale (14),0:37:03.700,0:00:07.000,04/01/2025,Laterale,giovi,ricky,digao,nic,zanna,,,1,,Noi,
Lancio (2),0:37:15.000,0:00:10.000,04/01/2025,Lancio,giovi,ricky,digao,nic,zanna,,Fuori,,,Noi,
Palla recuperata (11),0:37:31.300,0:00:10.000,04/01/2025,Palla recuperata,giovi,digao,nic,zanna,deba,digao,Costruzione,0,,,
Laterale (15),0:37:49.500,0:00:07.000,04/01/2025,Laterale,giovi,digao,nic,zanna,deba,,,0,,Noi,
Laterale (16),0:38:03.133,0:00:07.000,04/01/2025,Laterale,giovi,digao,nic,zanna,deba,,,0,,Loro,
Palla recuperata (12),0:38:06.900,0:00:10.000,04/01/2025,Palla recuperata,giovi,digao,nic,zanna,deba,nic,Fuori,0,,,
Laterale (17),0:38:15.200,0:00:07.000,04/01/2025,Laterale,giovi,digao,nic,zanna,deba,,,0,,Loro,
Tiro (13),0:38:17.200,0:00:07.000,04/01/2025,Tiro,giovi,digao,nic,zanna,deba,,Fuori,9,,Loro,Dx
Laterale (18),0:38:52.833,0:00:07.000,04/01/2025,Laterale,giovi,digao,nic,zanna,deba,,,0,,Loro,
Palla recuperata (13),0:39:01.533,0:00:10.000,04/01/2025,Palla recuperata,giovi,digao,nic,zanna,deba,zanna,Ripartenza,0,,,
1v1 (1),0:39:04.633,0:00:10.000,04/01/2025,,giovi,digao,nic,zanna,deba,,No Gol,,1v1,,
Fallo (5),0:39:08.600,0:00:04.000,04/01/2025,Fallo,giovi,digao,nic,zanna,deba,deba,,5,,Loro,
Ammonizione (1),0:39:11.200,0:00:10.000,04/01/2025,Ammonizione,giovi,digao,nic,zanna,deba,,,,,Loro,
Punizione (3),0:39:59.500,0:00:06.000,04/01/2025,Punizione,giovi,zanna,fabri,mattia,deba,fabri,Ribattuto,5,,Noi,Dx
Tiro (14),0:40:15.266,0:00:07.000,04/01/2025,Tiro,giovi,zanna,fabri,mattia,deba,fabri,Fuori,2,,Noi,Dx
Angolo (5),0:40:15.766,0:00:08.000,04/01/2025,Angolo,giovi,zanna,fabri,mattia,deba,,,,,Noi,
Palla recuperata (14),0:40:30.433,0:00:10.000,04/01/2025,Palla recuperata,giovi,zanna,fabri,mattia,deba,zanna,Costruzione,0,,,
Tiro (15),0:40:45.500,0:00:07.000,04/01/2025,Tiro,giovi,zanna,fabri,mattia,deba,mattia,Parata,7,,Noi,Sx
