Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Squadra,Piede,Casella di gruppo
Inizio avversario (1),0:17:16.500,0:00:10.000,06/01/2025,Inizio avversario,bara,deba,erick,fabri,mattia,,,,,,
Palla recuperata (1),0:17:25.000,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,erick,fabri,mattia,fabri,Fuori,0,,,
Laterale (1),0:17:28.033,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,0,Loro,,
Laterale (2),0:18:11.600,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,3,Loro,,
Lancio (1),0:18:40.500,0:00:10.000,06/01/2025,Lancio,bara,deba,erick,fabri,mattia,,Intercetto,,Noi,,
Angolo (1),0:18:56.833,0:00:08.000,06/01/2025,Angolo,bara,deba,erick,fabri,mattia,,,,Noi,,
Tiro (1),0:19:00.533,0:00:07.000,06/01/2025,Tiro,bara,deba,erick,fabri,mattia,mattia,Ribattuto,7,Noi,Sx,
Laterale (3),0:19:06.500,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,4,Noi,,
Laterale (4),0:19:26.700,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,6,Noi,,
Palla persa (1),0:19:34.233,0:00:10.000,06/01/2025,Palla persa,bara,deba,erick,fabri,mattia,fabri,Fuori,3,,,
Laterale (5),0:19:50.866,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,0,Noi,,
Laterale (6),0:20:01.133,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,0,Loro,,
Laterale (7),0:20:12.100,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,1,Loro,,
Laterale (8),0:20:51.066,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,6,Loro,,
Tiro (2),0:20:57.333,0:00:07.000,06/01/2025,Tiro,bara,deba,erick,fabri,mattia,,Ribattuto,6,Loro,Dx,
Laterale (9),0:21:07.933,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,0,Loro,,
Tiro (3),0:21:23.966,0:00:07.000,06/01/2025,Tiro,bara,deba,erick,fabri,mattia,,,2,Loro,Sx,
Gol (1),0:21:30.300,0:00:07.000,06/01/2025,Gol,bara,deba,erick,fabri,mattia,,,8,Loro,Sx,
Inizio (1),0:21:59.066,0:00:10.000,06/01/2025,Inizio,bara,deba,erick,fabri,mattia,,,,,,
Laterale (10),0:22:15.733,0:00:07.000,06/01/2025,Laterale,bara,deba,erick,fabri,mattia,,,3,Loro,,
Palla recuperata (2),0:22:21.133,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,erick,fabri,mattia,erick,Costruzione,6,,,
Palla persa (2),0:22:28.000,0:00:10.000,06/01/2025,Palla persa,bara,deba,erick,fabri,mattia,erick,Costruzione,5,,,
Tiro (4),0:22:34.933,0:00:07.000,06/01/2025,Tiro,bara,deba,erick,fabri,mattia,,Fuori,4,Loro,Sx,
Laterale (11),0:23:09.500,0:00:07.000,06/01/2025,Laterale,bara,fabri,ricky,nic,diego jr,,,1,Noi,,
Laterale (12),0:23:32.000,0:00:07.000,06/01/2025,Laterale,bara,fabri,ricky,nic,diego jr,,,0,Loro,,
Palla recuperata (3),0:23:50.133,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,diego jr,digao,digao,Costruzione,0,,,
Laterale (13),0:24:27.466,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,diego jr,digao,,,0,Loro,,
Palla recuperata (4),0:24:36.133,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,diego jr,digao,digao,Tiro,1,,,
Tiro (5),0:24:36.133,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,diego jr,digao,digao,Parata,4,Noi,Dx,
3v2 (1),0:24:40.133,0:00:10.000,06/01/2025,,bara,ricky,nic,diego jr,digao,,No Gol,,Loro,,3v2
Parata (1),0:24:44.100,0:00:10.000,06/01/2025,Parata,bara,ricky,nic,diego jr,digao,,,,Noi,,
Laterale (14),0:25:22.400,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,diego jr,digao,,,0,Loro,,
Palla recuperata (5),0:25:37.900,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,diego jr,digao,diego jr,Costruzione,2,,,
Palla persa (3),0:25:41.533,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,diego jr,digao,digao,,2,,,
Fallo (1),0:25:48.500,0:00:04.000,06/01/2025,Fallo,bara,ricky,nic,diego jr,digao,digao,,1,,,
Punizione (1),0:26:09.833,0:00:06.000,06/01/2025,Punizione,bara,ricky,nic,diego jr,digao,,Parata,1,Loro,Sx,
Tiro (6),0:26:33.866,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,diego jr,digao,,Ribattuto,7,Loro,Sx,
Angolo (2),0:26:52.833,0:00:08.000,06/01/2025,Angolo,bara,ricky,nic,diego jr,fabri,,,,Loro,,
Palla persa (4),0:27:34.100,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,diego jr,fabri,bara,Fuori,0,,,
Palla recuperata (6),0:27:54.000,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,diego jr,fabri,scanta,deba,Fuori,0,,,
Laterale (15),0:28:02.466,0:00:07.000,06/01/2025,Laterale,bara,deba,diego jr,fabri,scanta,,,0,Loro,,
Laterale (16),0:28:21.200,0:00:07.000,06/01/2025,Laterale,bara,deba,diego jr,fabri,scanta,,,6,Noi,,
Laterale (17),0:28:41.266,0:00:07.000,06/01/2025,Laterale,bara,deba,diego jr,fabri,scanta,,,0,Noi,,
Laterale (18),0:29:16.033,0:00:07.000,06/01/2025,Laterale,bara,deba,fabri,scanta,mattia,,,3,Loro,,
Palla recuperata (7),0:29:30.666,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,fabri,scanta,mattia,fabri,Costruzione,5,,,
Laterale (19),0:29:39.900,0:00:07.000,06/01/2025,Laterale,bara,deba,fabri,scanta,mattia,,,0,Noi,,
Angolo (3),0:30:00.533,0:00:08.000,06/01/2025,Angolo,bara,deba,fabri,scanta,mattia,,,,Noi,,
Tiro (7),0:30:01.300,0:00:07.000,06/01/2025,Tiro,bara,deba,fabri,scanta,mattia,fabri,Ribattuto,2,Noi,Dx,
Lancio (2),0:30:08.500,0:00:10.000,06/01/2025,Lancio,bara,deba,fabri,scanta,mattia,,Fuori,,Noi,,
3v2 (2),0:30:43.700,0:00:10.000,06/01/2025,,bara,deba,fabri,scanta,mattia,,No Gol,,Loro,,3v2
Tiro (8),0:30:46.466,0:00:07.000,06/01/2025,Tiro,bara,deba,fabri,scanta,mattia,,Fuori,5,Loro,Dx,
Tiro (9),0:31:03.300,0:00:07.000,06/01/2025,Tiro,bara,deba,fabri,scanta,mattia,mattia,Fuori,6,Noi,Sx,
Laterale (20),0:31:35.100,0:00:07.000,06/01/2025,Laterale,bara,deba,fabri,scanta,mattia,,,6,Noi,,
Tiro (10),0:31:39.166,0:00:07.000,06/01/2025,Tiro,bara,deba,fabri,scanta,mattia,deba,Fuori,5,Noi,Dx,
Palla persa (5),0:31:53.400,0:00:10.000,06/01/2025,Palla persa,bara,deba,fabri,scanta,mattia,scanta,Ripartenza,0,,,
3v2 (3),0:31:56.066,0:00:10.000,06/01/2025,,bara,deba,fabri,mattia,scanta,,Gol,,,,3v2
Autogol (1),0:32:00.100,0:00:10.000,06/01/2025,Autogol,bara,deba,fabri,mattia,scanta,mattia,,8,Noi,Sx,
Inizio (2),0:32:30.400,0:00:10.000,06/01/2025,Inizio,bara,deba,fabri,mattia,scanta,,,,,,
Palla persa (6),0:32:41.800,0:00:10.000,06/01/2025,Palla persa,bara,deba,fabri,mattia,scanta,mattia,Costruzione,5,,,
Palla recuperata (8),0:32:44.633,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,fabri,mattia,scanta,mattia,,1,,,
Palla persa (7),0:32:47.566,0:00:10.000,06/01/2025,Palla persa,bara,deba,fabri,mattia,scanta,deba,,0,,,
Da rivedere (1),0:32:48.633,0:00:10.000,06/01/2025,Da rivedere,bara,deba,fabri,mattia,scanta,,,,,,
Palla recuperata (9),0:32:54.033,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,fabri,mattia,scanta,fabri,Ripartenza,1,,,
3v2 (4),0:32:54.833,0:00:10.000,06/01/2025,,bara,deba,fabri,mattia,scanta,,No Gol,,,,3v2
Palla persa (8),0:32:56.533,0:00:10.000,06/01/2025,Palla persa,bara,deba,fabri,mattia,scanta,fabri,Ripartenza,0,,,
3v2 (5),0:32:58.466,0:00:10.000,06/01/2025,,bara,deba,fabri,mattia,scanta,,Gol,,,,3v2
Gol (2),0:33:03.133,0:00:07.000,06/01/2025,Gol,bara,deba,fabri,mattia,scanta,,,8,Loro,Sx,
Ammonizione (1),0:33:30.066,0:00:10.000,06/01/2025,Ammonizione,bara,deba,fabri,mattia,scanta,scanta,,,Noi,,
Inizio (3),0:33:56.233,0:00:10.000,06/01/2025,Inizio,bara,nic,ricky,diego jr,digao,,,,,,
Palla persa (9),0:34:05.733,0:00:10.000,06/01/2025,Palla persa,bara,nic,ricky,diego jr,digao,diego jr,Ripartenza,0,,,
3v2 (6),0:34:05.733,0:00:10.000,06/01/2025,,bara,nic,ricky,diego jr,digao,,No Gol,,,,3v2
Da rivedere (2),0:34:23.900,0:00:10.000,06/01/2025,Da rivedere,bara,nic,ricky,diego jr,digao,,,,,,
Laterale (21),0:34:35.000,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,diego jr,digao,,,4,Loro,,
Palla recuperata (10),0:34:41.400,0:00:10.000,06/01/2025,Palla recuperata,bara,nic,ricky,diego jr,digao,digao,Fuori,3,,,
Timeout (1),0:34:52.733,0:00:10.000,06/01/2025,Timeout,bara,nic,ricky,diego jr,digao,,,,Noi,,
Laterale (22),0:35:56.066,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,diego jr,digao,,,0,Noi,,
Laterale (23),0:36:11.366,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,diego jr,digao,,,1,Noi,,
Laterale (24),0:36:29.000,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,diego jr,digao,,,0,Loro,,
Palla recuperata (11),0:36:40.333,0:00:10.000,06/01/2025,Palla recuperata,bara,nic,ricky,diego jr,digao,diego jr,,2,,,
Palla persa (10),0:36:44.033,0:00:10.000,06/01/2025,Palla persa,bara,nic,ricky,diego jr,digao,diego jr,Ripartenza,0,,,
3v2 (7),0:36:45.766,0:00:10.000,06/01/2025,,bara,nic,ricky,diego jr,digao,,No Gol,,,,3v2
Laterale (25),0:36:59.366,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,diego jr,digao,,,0,Noi,,
Laterale (26),0:37:28.066,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,diego jr,digao,,,0,Loro,,
Palla persa (11),0:38:32.333,0:00:10.000,06/01/2025,Palla persa,bara,nic,ricky,diego jr,fabri,nic,Ripartenza,,,,
3v2 (8),0:38:37.600,0:00:10.000,06/01/2025,,bara,nic,ricky,diego jr,fabri,,No Gol,,Loro,,3v2
Palla recuperata (12),0:38:40.066,0:00:10.000,06/01/2025,Palla recuperata,bara,nic,ricky,diego jr,fabri,fabri,Costruzione,7,,,
Timeout (2),0:38:53.633,0:00:10.000,06/01/2025,Timeout,bara,nic,ricky,diego jr,fabri,,,,Loro,,
Laterale (27),0:40:07.366,0:00:07.000,06/01/2025,Laterale,bara,nic,ricky,fabri,erick,,,7,Loro,,
Parata (2),0:40:09.133,0:00:10.000,06/01/2025,Parata,bara,nic,ricky,fabri,erick,,,,Noi,,
Palla persa (12),0:40:32.866,0:00:10.000,06/01/2025,Palla persa,bara,nic,ricky,fabri,erick,ricky,Ripartenza,0,,,
1v1 (1),0:40:33.933,0:00:10.000,06/01/2025,,bara,nic,ricky,fabri,erick,,No Gol,,Noi,,1v1
Tiro (11),0:40:56.833,0:00:07.000,06/01/2025,Tiro,bara,nic,ricky,fabri,erick,ricky,Ribattuto,2,Noi,Dx,
Palla recuperata (13),0:41:05.266,0:00:10.000,06/01/2025,Palla recuperata,bara,nic,ricky,fabri,erick,fabri,,0,,,
Tiro (12),0:41:07.633,0:00:07.000,06/01/2025,Tiro,bara,nic,ricky,fabri,erick,erick,Ribattuto,5,Noi,Sx,
Fallo (2),0:41:20.766,0:00:04.000,06/01/2025,Fallo,bara,nic,ricky,fabri,erick,fabri,,0,Noi,,
Ammonizione (2),0:41:22.300,0:00:10.000,06/01/2025,Ammonizione,bara,nic,ricky,fabri,erick,fabri,,,Noi,,
Espulsione (1),0:41:29.533,0:00:10.000,06/01/2025,Espulsione,bara,nic,ricky,fabri,erick,fabri,,,Noi,,
Punizione (2),0:42:16.433,0:00:06.000,06/01/2025,Punizione,bara,nic,ricky,fabri,erick,,,0,Loro,Sx,
4v3 (1),0:42:22.400,0:00:10.000,06/01/2025,4v3,bara,nic,ricky,fabri,erick,,,,Loro,,
Fallo (3),0:42:30.800,0:00:04.000,06/01/2025,Fallo,bara,zanna,digao,scanta,,scanta,,4,Noi,,
Punizione (3),0:43:07.000,0:00:06.000,06/01/2025,Punizione,bara,azza,digao,scanta,,,,4,Loro,,
Tiro (13),0:43:07.133,0:00:07.000,06/01/2025,Tiro,bara,azza,digao,scanta,,,Gol,5,Loro,,
Gol (3),0:43:13.133,0:00:07.000,06/01/2025,Gol,bara,azza,digao,scanta,,,,5,Loro,Sx,
Inizio (4),0:43:33.400,0:00:10.000,06/01/2025,Inizio,bara,deba,scanta,zanna,mattia,,,,,,
Laterale (28),0:44:04.600,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,9,Noi,,
Tiro (14),0:44:32.200,0:00:07.000,06/01/2025,Tiro,bara,deba,scanta,zanna,mattia,,Fuori,5,Loro,Dx,
Palla persa (13),0:44:58.700,0:00:10.000,06/01/2025,Palla persa,bara,deba,scanta,zanna,mattia,deba,Fuori,3,,,
Laterale (29),0:45:04.766,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,0,Noi,,
Palla persa (14),0:45:18.133,0:00:10.000,06/01/2025,Palla persa,bara,deba,scanta,zanna,mattia,deba,Fuori,0,,,
Laterale (30),0:45:24.266,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,0,Noi,,
Fallo (4),0:45:40.133,0:00:04.000,06/01/2025,Fallo,bara,deba,scanta,zanna,mattia,,,6,Loro,,
Punizione (4),0:45:57.866,0:00:06.000,06/01/2025,Punizione,bara,deba,scanta,zanna,mattia,mattia,,6,Noi,Sx,
Tiro (15),0:46:11.733,0:00:07.000,06/01/2025,Tiro,bara,deba,scanta,zanna,mattia,mattia,Parata,6,Noi,Sx,
Laterale (31),0:46:23.866,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,4,Noi,,
Palla persa (15),0:46:32.966,0:00:10.000,06/01/2025,Palla persa,bara,deba,scanta,zanna,mattia,mattia,Costruzione,0,,,
Laterale (32),0:47:09.233,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,6,Noi,,
Palla persa (16),0:47:16.100,0:00:10.000,06/01/2025,Palla persa,bara,deba,scanta,zanna,mattia,deba,Costruzione,0,,,
Laterale (33),0:48:06.466,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,0,Loro,,
Palla recuperata (14),0:48:12.733,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,scanta,zanna,mattia,giovi,Costruzione,0,,,
Tiro (16),0:48:18.700,0:00:07.000,06/01/2025,Tiro,bara,deba,scanta,zanna,mattia,mattia,Ribattuto,6,Noi,Sx,
Angolo (4),0:48:28.166,0:00:08.000,06/01/2025,Angolo,bara,deba,scanta,zanna,mattia,,,,Noi,,
Angolo (5),0:48:51.133,0:00:08.000,06/01/2025,Angolo,bara,deba,scanta,zanna,mattia,,,,Noi,,
Laterale (34),0:49:10.933,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,0,Loro,,
Tiro (17),0:49:18.400,0:00:07.000,06/01/2025,Tiro,bara,deba,scanta,zanna,mattia,,Ribattuto,6,Loro,Dx,
Laterale (35),0:49:34.866,0:00:07.000,06/01/2025,Laterale,bara,deba,scanta,zanna,mattia,,,9,Loro,,
Palla recuperata (15),0:49:41.733,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,scanta,zanna,mattia,mattia,,4,,,
